REF_AREA,MEASURE,TIME_PERIOD,OBS_VALUE
BEL,PFC,1990,2034.771
BEL,SF,1990,1666.438
BEL,CH4,1991,12855.414
BEL,CO2,1991,120882.288
BEL,N2O,1991,8841.485999999999
BEL,PFC,1991,1947.008
BEL,SF,1991,1582.794
BEL,CH4,1992,12768.824
BEL,CO2,1992,120184.716
BEL,HFC,1992,362.354
BEL,N2O,1992,8599.789
BEL,PFC,1992,2122.967
BEL,SF,1992,1748.696
BEL,CH4,1993,12547.818
BEL,CO2,1993,119099.693
BEL,HFC,1993,368.864
BEL,N2O,1993,8847.116
BEL,PFC,1993,2042.61
BEL,SF,1993,1683.71
BEL,CH4,1994,12582.465
BEL,CO2,1994,122720.91
BEL,HFC,1994,387.826
BEL,N2O,1994,9209.663
BEL,PFC,1994,2451.725
BEL,SF,1994,2037.686
BEL,CH4,1995,12653.82
BEL,CO2,1995,123628.265
BEL,HFC,1995,449.34
BEL,N2O,1995,9642.336
BEL,PFC,1995,2716.496
BEL,SF,1995,2205.697
BEL,CH4,1996,12506.883
BEL,CO2,1996,126960.912
BEL,HFC,1996,539.269
BEL,N2O,1996,10039.184
BEL,PFC,1996,2578.441
BEL,SF,1996,2123.128
BEL,CH4,1997,12368.993
BEL,CO2,1997,121930.125
BEL,HFC,1997,657.926
BEL,N2O,1997,9841.53
BEL,PFC,1997,1437.51
BEL,SF,1997,555.663
BEL,CH4,1998,12174.54
BEL,CO2,1998,127603.11
BEL,HFC,1998,813.746
BEL,N2O,1998,9742.396
BEL,PFC,1998,788.687
BEL,SF,1998,305.305
BEL,CH4,1999,11905.533
BEL,CO2,1999,122534.597
BEL,HFC,1999,887.948
BEL,N2O,1999,9750.929
BEL,PFC,1999,387.448
BEL,SF,1999,158.65
BEL,CH4,2000,11443.944
BEL,CO2,2000,124992.902
BEL,HFC,2000,1088.731
BEL,N2O,2000,9113.497
BEL,PFC,2000,403.251
BEL,SF,2000,148.829
BEL,CH4,2001,10972.603
BEL,CO2,2001,124505.332
BEL,HFC,2001,1172.253
BEL,N2O,2001,8770.429
BEL,PFC,2001,240.079
BEL,SF,2001,143.801
BEL,CH4,2002,10523.537
BEL,CO2,2002,124705.884
BEL,HFC,2002,1401.019
BEL,N2O,2002,8466.3
BEL,PFC,2002,90.948
BEL,SF,2002,120.163
BEL,CH4,2003,9941.919
BEL,CO2,2003,126193.609
BEL,HFC,2003,1587.668
BEL,N2O,2003,7669.532
BEL,PFC,2003,232.168
BEL,SF,2003,105.423
BEL,CH4,2004,9876.947
BEL,CO2,2004,126987.644
BEL,HFC,2004,1672.82
BEL,N2O,2004,7840.73
BEL,PFC,2004,346.826
BEL,SF,2004,93.333
BEL,CH4,2005,9630.154
BEL,CO2,2005,123781.614
BEL,HFC,2005,2365.328
BEL,N2O,2005,7626.367
BEL,PFC,2005,155.812
BEL,SF,2005,93.838
BEL,CH4,2006,9532.719
BEL,CO2,2006,122046.7
BEL,HFC,2006,2469.186
BEL,N2O,2006,6741.293
BEL,PFC,2006,104.462
BEL,SF,2006,79.545
BEL,CH4,2007,9416.105
BEL,CO2,2007,118935.841
BEL,HFC,2007,2838.18
BEL,N2O,2007,6268.898
BEL,PFC,2007,110.586
BEL,SF,2007,81.856
BEL,CH4,2008,9228.777
BEL,CO2,2008,118713.006
BEL,HFC,2008,2833.574
BEL,N2O,2008,6244.975
BEL,PFC,2008,554.348
BEL,SF,2008,90.167
BEL,CH4,2009,9157.089
BEL,CO2,2009,106477.956
BEL,HFC,2009,2731.874
BEL,N2O,2009,6335.879
BEL,PFC,2009,446.736
BEL,SF,2009,96.393
BEL,CH4,2010,9123.262
BEL,CO2,2010,114144.117
BEL,HFC,2010,3015.445
BEL,N2O,2010,6794.229
BEL,PFC,2010,95.595
BEL,SF,2010,108.175
BEL,CH4,2011,8863.007
BEL,CO2,2011,104673.649
BEL,HFC,2011,3370.045
BEL,N2O,2011,5728.432
BEL,PFC,2011,151.496
BEL,SF,2011,112.695
BEL,CH4,2012,8819.249
BEL,CO2,2012,102025.223
BEL,HFC,2012,3389.484
BEL,N2O,2012,5702.426
BEL,PFC,2012,115.155
BEL,SF,2012,114.779
BEL,CH4,2013,8650.41
BEL,CO2,2013,101688.146
BEL,HFC,2013,3452.041
BEL,N2O,2013,5558.833
BEL,PFC,2013,128.278
BEL,SF,2013,120.922
BEL,CH4,2014,8477.627
BEL,CO2,2014,96019.849
BEL,HFC,2014,3686.909
BEL,N2O,2014,5562.3910000000005
BEL,PFC,2014,126.155
BEL,SF,2014,98.155
BEL,CH4,2015,8487.188
BEL,CO2,2015,100187.529
BEL,HFC,2015,3795.652
BEL,N2O,2015,5429.962
BEL,PFC,2015,137.543
BEL,SF,2015,95.478
BEL,CH4,2016,8446.155
BEL,CO2,2016,98751.864
BEL,HFC,2016,3775.269
BEL,N2O,2016,5188.28
BEL,PFC,2016,388.436
BEL,SF,2016,100.472
BEL,CH4,2017,8263.193
BEL,CO2,2017,98306.13
BEL,HFC,2017,4072.862
BEL,N2O,2017,5346.922
BEL,PFC,2017,169.607
BEL,SF,2017,104.622
BEL,CH4,2018,8181.197
BEL,CO2,2018,99254.568
BEL,HFC,2018,4206.095
BEL,N2O,2018,5115.231
BEL,PFC,2018,121.192
BEL,SF,2018,97.773
BEL,CH4,2019,8095.941
BEL,CO2,2019,98884.402
BEL,HFC,2019,3701.949
BEL,N2O,2019,5051.56
BEL,PFC,2019,139.086
BEL,SF,2019,109.255
BEL,CH4,2020,7971.608
BEL,CO2,2020,90662.493
BEL,HFC,2020,3111.957
BEL,N2O,2020,4891.4490000000005
BEL,PFC,2020,184.803
BEL,SF,2020,107.311
BEL,CH4,2021,7870.393
BEL,CO2,2021,95240.469
BEL,HFC,2021,2397.304
BEL,N2O,2021,4836.156
BEL,PFC,2021,182.0
BEL,SF,2021,95.793
BGR,CH4,1990,14634.522
BGR,CO2,1990,59972.519
BGR,N2O,1990,7955.232999999999
BGR,SF,1990,3.807
BGR,CH4,1991,13464.065
BGR,CO2,1991,44734.467
BGR,HFC,1991,0.003
BGR,N2O,1991,6224.042
BGR,SF,1991,4.028
BGR,CH4,1992,13086.115
BGR,CO2,1992,41045.31
BGR,HFC,1992,0.01
